DATE,GOMA
2005-01-01,4671.4
2005-04-01,4734.7
2005-07-01,4822.3
2005-10-01,4984.3
2006-01-01,5024.4
2006-04-01,5091.0
2006-07-01,5143.0
2006-10-01,5111.8
2007-01-01,5202.1
2007-04-01,5393.3
2007-07-01,5465.5
2007-10-01,5552.6
2008-01-01,5600.3
2008-04-01,5722.0
2008-07-01,5661.9
2008-10-01,4987.9
2009-01-01,4455.3
2009-04-01,4364.7
2009-07-01,4526.8
2009-10-01,4695.4
2010-01-01,4841.2
2010-04-01,4962.6
2010-07-01,5074.9
2010-10-01,5196.6
2011-01-01,5438.1
2011-04-01,5590.1
2011-07-01,5651.1
2011-10-01,5699.2
2012-01-01,5766.4
2012-04-01,5757.2
2012-07-01,5734.5
2012-10-01,5832.6
2013-01-01,5910.0
2013-04-01,5906.2
2013-07-01,5930.0
2013-10-01,6014.7
2014-01-01,6020.2
2014-04-01,6060.3
2014-07-01,6084.6
2014-10-01,5938.9
2015-01-01,5728.5
2015-04-01,5758.4
2015-07-01,5740.2
2015-10-01,5586.8
2016-01-01,5475.6
2016-04-01,5528.7
2016-07-01,5553.9
2016-10-01,5613.8
2017-01-01,5678.4
2017-04-01,5666.3
2017-07-01,5707.6
2017-10-01,5881.6
2018-01-01,6006.1
2018-04-01,6087.9
2018-07-01,6182.6
2018-10-01,6194.2
2019-01-01,6123.5
2019-04-01,6137.7
2019-07-01,6046.1
2019-10-01,5914.4
2020-01-01,5779.3
2020-04-01,4968.5
2020-07-01,5558.3
2020-10-01,5698.8
2021-01-01,5987.1
2021-04-01,6185.0
2021-07-01,6410.5
2021-10-01,6692.3
2022-01-01,6971.6
2022-04-01,7312.5
2022-07-01,7338.5
